tangent_height_km,R_lin,G_lin,B_lin
0.0000,8.603090e-03,0.000000e+00,0.000000e+00
0.0587,8.806968e-03,0.000000e+00,0.000000e+00
0.1174,9.014620e-03,0.000000e+00,0.000000e+00
0.1761,9.226073e-03,0.000000e+00,0.000000e+00
0.2348,9.441359e-03,0.000000e+00,0.000000e+00
0.2935,9.661201e-03,0.000000e+00,0.000000e+00
0.3523,9.885830e-03,0.000000e+00,0.000000e+00
0.4110,1.011444e-02,0.000000e+00,0.000000e+00
0.4697,1.034707e-02,0.000000e+00,0.000000e+00
0.5284,1.058372e-02,0.000000e+00,0.000000e+00
0.5871,1.082584e-02,0.000000e+00,0.000000e+00
0.6458,1.107226e-02,1.127965e-05,0.000000e+00
0.7045,1.132279e-02,2.459152e-05,0.000000e+00
0.7632,1.157745e-02,3.856360e-05,0.000000e+00
0.8219,1.183671e-02,5.329782e-05,0.000000e+00
0.8806,1.210118e-02,6.892594e-05,0.000000e+00
0.9393,1.236960e-02,8.527448e-05,0.000000e+00
0.9980,1.264177e-02,1.023450e-04,0.000000e+00
1.0568,1.291754e-02,1.201452e-04,0.000000e+00
1.1155,1.319904e-02,1.389874e-04,0.000000e+00
1.1742,1.348563e-02,1.587639e-04,0.000000e+00
1.2329,1.377689e-02,1.794177e-04,0.000000e+00
1.2916,1.407287e-02,2.009713e-04,0.000000e+00
1.3503,1.437391e-02,2.235175e-04,0.000000e+00
1.4090,1.468125e-02,2.473321e-04,0.000000e+00
1.4677,1.499342e-02,2.721470e-04,0.000000e+00
1.5264,1.531043e-02,2.979852e-04,0.000000e+00
1.5851,1.563229e-02,3.248701e-04,0.000000e+00
1.6438,1.596023e-02,3.530995e-04,0.000000e+00
1.7025,1.629380e-02,3.826134e-04,0.000000e+00
1.7613,1.663225e-02,4.132755e-04,0.000000e+00
1.8200,1.697560e-02,4.451083e-04,0.000000e+00
1.8787,1.732394e-02,4.781644e-04,0.000000e+00
1.9374,1.767881e-02,5.128881e-04,0.000000e+00
1.9961,1.803810e-02,5.488236e-04,0.000000e+00
2.0548,1.840208e-02,5.860276e-04,0.000000e+00
2.1135,1.877102e-02,6.245590e-04,0.000000e+00
2.1722,1.914624e-02,6.647666e-04,0.000000e+00
2.2309,1.952776e-02,7.067104e-04,0.000000e+00
2.2896,1.991456e-02,7.501475e-04,0.000000e+00
2.3483,2.030666e-02,7.951089e-04,0.000000e+00
2.4070,2.070406e-02,8.416259e-04,0.000000e+00
2.4658,2.110868e-02,8.903337e-04,0.000000e+00
2.5245,2.151869e-02,9.407351e-04,0.000000e+00
2.5832,2.193396e-02,9.928224e-04,0.000000e+00
2.6419,2.235447e-02,1.046625e-03,0.000000e+00
2.7006,2.278091e-02,1.102433e-03,0.000000e+00
2.7593,2.321368e-02,1.160470e-03,0.000000e+00
2.8180,2.365145e-02,1.220333e-03,0.000000e+00
2.8767,2.409409e-02,1.282037e-03,0.000000e+00
2.9354,2.454141e-02,1.345589e-03,0.000000e+00
2.9941,2.499400e-02,1.411509e-03,0.000000e+00
3.0528,2.545088e-02,1.479411e-03,0.000000e+00
3.1115,2.591280e-02,1.549347e-03,0.000000e+00
3.1703,2.638021e-02,1.621423e-03,0.000000e+00
3.2290,2.685361e-02,1.695894e-03,0.000000e+00
3.2877,2.733405e-02,1.773268e-03,0.000000e+00
3.3464,2.781991e-02,1.852945e-03,0.000000e+00
3.4051,2.831115e-02,1.934961e-03,0.000000e+00
3.4638,2.880770e-02,2.019351e-03,0.000000e+00
3.5225,2.931088e-02,2.106813e-03,0.000000e+00
3.5812,2.981986e-02,2.197060e-03,0.000000e+00
3.6399,3.033391e-02,2.289825e-03,0.000000e+00
3.6986,3.085293e-02,2.385137e-03,0.000000e+00
3.7573,3.137702e-02,2.483147e-03,0.000000e+00
3.8160,3.190726e-02,2.584651e-03,0.000000e+00
3.8748,3.244172e-02,2.688762e-03,0.000000e+00
3.9335,3.297993e-02,2.795445e-03,0.000000e+00
3.9922,3.352130e-02,2.904634e-03,0.000000e+00
4.0509,3.406487e-02,3.016657e-03,0.000000e+00
4.1096,3.461443e-02,3.132137e-03,0.000000e+00
4.1683,3.516925e-02,3.250663e-03,0.000000e+00
4.2270,3.572940e-02,3.372293e-03,0.000000e+00
4.2857,3.629487e-02,3.497078e-03,0.000000e+00
4.3444,3.686760e-02,3.626348e-03,0.000000e+00
4.4031,3.744544e-02,3.758909e-03,0.000000e+00
4.4618,3.802835e-02,3.894807e-03,0.000000e+00
4.5205,3.861626e-02,4.034082e-03,0.000000e+00
4.5793,3.920995e-02,4.177374e-03,0.000000e+00
4.6380,3.980944e-02,4.324919e-03,0.000000e+00
4.6967,4.041359e-02,4.475997e-03,0.000000e+00
4.7554,4.102226e-02,4.630631e-03,0.000000e+00
4.8141,4.163529e-02,4.788844e-03,0.000000e+00
4.8728,4.225382e-02,4.951880e-03,0.000000e+00
4.9315,4.287614e-02,5.118643e-03,0.000000e+00
4.9902,4.350125e-02,5.288778e-03,0.000000e+00
5.0489,4.412912e-02,5.462325e-03,0.000000e+00
