frame,D_arcmin,moon_center_x_arcmin,sun_offset_arcmin,sun_peek_arcmin,phase
0,0.0000,0.0000,0.0000,-41.0372,total
1,0.1671,0.1671,0.1671,-40.8701,total
2,0.3343,0.3343,0.3343,-40.7030,total
3,0.5014,0.5014,0.5014,-40.5359,total
4,0.6685,0.6685,0.6685,-40.3687,total
5,0.8357,0.8357,0.8357,-40.2016,total
6,1.0028,1.0028,1.0028,-40.0345,total
7,1.1699,1.1699,1.1699,-39.8673,total
8,1.3370,1.3370,1.3370,-39.7002,total
9,1.5042,1.5042,1.5042,-39.5331,total
10,1.6713,1.6713,1.6713,-39.3659,total
11,1.8384,1.8384,1.8384,-39.1988,total
12,2.0056,2.0056,2.0056,-39.0317,total
13,2.1727,2.1727,2.1727,-38.8645,total
14,2.3398,2.3398,2.3398,-38.6974,total
15,2.5070,2.5070,2.5070,-38.5303,total
16,2.6741,2.6741,2.6741,-38.3632,total
17,2.8412,2.8412,2.8412,-38.1960,total
18,3.0084,3.0084,3.0084,-38.0289,total
19,3.1755,3.1755,3.1755,-37.8618,total
20,3.3426,3.3426,3.3426,-37.6946,total
21,3.5097,3.5097,3.5097,-37.5275,total
22,3.6769,3.6769,3.6769,-37.3604,total
23,3.8440,3.8440,3.8440,-37.1932,total
24,4.0111,4.0111,4.0111,-37.0261,total
25,4.1783,4.1783,4.1783,-36.8590,total
26,4.3454,4.3454,4.3454,-36.6918,total
27,4.5125,4.5125,4.5125,-36.5247,total
28,4.6797,4.6797,4.6797,-36.3576,total
29,4.8468,4.8468,4.8468,-36.1904,total
30,5.0139,5.0139,5.0139,-36.0233,total
31,5.1811,5.1811,5.1811,-35.8562,total
32,5.3482,5.3482,5.3482,-35.6891,total
33,5.5153,5.5153,5.5153,-35.5219,total
34,5.6825,5.6825,5.6825,-35.3548,total
35,5.8496,5.8496,5.8496,-35.1877,total
36,6.0167,6.0167,6.0167,-35.0205,total
37,6.1838,6.1838,6.1838,-34.8534,total
38,6.3510,6.3510,6.3510,-34.6863,total
39,6.5181,6.5181,6.5181,-34.5191,total
40,6.6852,6.6852,6.6852,-34.3520,total
41,6.8524,6.8524,6.8524,-34.1849,total
42,7.0195,7.0195,7.0195,-34.0177,total
43,7.1866,7.1866,7.1866,-33.8506,total
44,7.3538,7.3538,7.3538,-33.6835,total
45,7.5209,7.5209,7.5209,-33.5164,total
46,7.6880,7.6880,7.6880,-33.3492,total
47,7.8552,7.8552,7.8552,-33.1821,total
48,8.0223,8.0223,8.0223,-33.0150,total
49,8.1894,8.1894,8.1894,-32.8478,total
50,8.3565,8.3565,8.3565,-32.6807,total
51,8.5237,8.5237,8.5237,-32.5136,total
52,8.6908,8.6908,8.6908,-32.3464,total
53,8.8579,8.8579,8.8579,-32.1793,total
54,9.0251,9.0251,9.0251,-32.0122,total
55,9.1922,9.1922,9.1922,-31.8450,total
56,9.3593,9.3593,9.3593,-31.6779,total
57,9.5265,9.5265,9.5265,-31.5108,total
58,9.6936,9.6936,9.6936,-31.3437,total
59,9.8607,9.8607,9.8607,-31.1765,total
60,10.0279,10.0279,10.0279,-31.0094,total
