arcmin_from_umbra_center,R_lin,G_lin,B_lin,Y_luminance
0.0000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.1174,8.972079e-04,2.033591e-05,0.000000e+00,2.039915e-04
0.2348,9.042917e-04,2.084023e-05,0.000000e+00,2.058461e-04
0.3523,9.114371e-04,2.135275e-05,0.000000e+00,2.077195e-04
0.4697,9.186497e-04,2.187432e-05,0.000000e+00,2.096136e-04
0.5871,9.259263e-04,2.240453e-05,0.000000e+00,2.115273e-04
0.7045,9.332658e-04,2.294330e-05,0.000000e+00,2.134604e-04
0.8219,9.406756e-04,2.349166e-05,0.000000e+00,2.154151e-04
0.9393,9.481498e-04,2.404895e-05,0.000000e+00,2.173899e-04
1.0568,9.556895e-04,2.461527e-05,0.000000e+00,2.193848e-04
1.1742,9.633013e-04,2.519159e-05,0.000000e+00,2.214022e-04
1.2916,9.709783e-04,2.577722e-05,0.000000e+00,2.234399e-04
1.4090,9.329484e-04,2.513892e-05,0.000000e+00,2.149521e-04
1.5264,8.682303e-04,2.374247e-05,0.000000e+00,2.002877e-04
1.6438,8.127085e-04,2.255080e-05,0.000000e+00,1.877116e-04
1.7613,7.644156e-04,2.151923e-05,0.000000e+00,1.767764e-04
1.8787,7.223625e-04,2.062828e-05,0.000000e+00,1.672593e-04
1.9961,6.854011e-04,1.985200e-05,0.000000e+00,1.588994e-04
2.1135,6.524566e-04,1.916460e-05,0.000000e+00,1.514512e-04
2.2309,6.229755e-04,1.855443e-05,0.000000e+00,1.447896e-04
2.3483,5.966719e-04,1.801716e-05,0.000000e+00,1.388510e-04
2.4658,5.728242e-04,1.753403e-05,0.000000e+00,1.334697e-04
2.5832,5.511229e-04,1.709846e-05,0.000000e+00,1.285757e-04
2.7006,5.314113e-04,1.670868e-05,0.000000e+00,1.241346e-04
2.8180,5.134021e-04,1.635782e-05,0.000000e+00,1.200807e-04
2.9354,4.968277e-04,1.603914e-05,0.000000e+00,1.163529e-04
3.0528,4.815350e-04,1.574936e-05,0.000000e+00,1.129163e-04
3.1703,4.674788e-04,1.548876e-05,0.000000e+00,1.097617e-04
3.2877,4.544447e-04,1.525146e-05,0.000000e+00,1.068396e-04
3.4051,4.423191e-04,1.503476e-05,0.000000e+00,1.041240e-04
3.5225,4.310173e-04,1.483688e-05,0.000000e+00,1.015959e-04
3.6399,4.205259e-04,1.465858e-05,0.000000e+00,9.925286e-05
3.7573,4.107064e-04,1.449573e-05,0.000000e+00,9.706276e-05
3.8748,4.014984e-04,1.434701e-05,0.000000e+00,9.501189e-05
3.9922,3.928505e-04,1.421128e-05,0.000000e+00,9.308857e-05
4.1096,3.847519e-04,1.408905e-05,0.000000e+00,9.129088e-05
4.2270,3.771297e-04,1.397810e-05,0.000000e+00,8.960185e-05
4.3444,3.699388e-04,1.387738e-05,0.000000e+00,8.801124e-05
4.4618,3.631466e-04,1.378613e-05,0.000000e+00,8.651157e-05
4.5793,3.567324e-04,1.370413e-05,0.000000e+00,8.509832e-05
